trial_num,jspsychID,stimulus,agent,time_elapse,causal_rating,counterfactual_rating,animacy_rating,rt_1,rt_2,rt_3,trial_rt,subject_id,outcome,cf,outcome_CF_match,vid_num
42,s6x52p2895xf99y,17a_out_out_far.mp4,animate,1061410.0,38,1,100,57098.39999985695,59672.70000004768,64047.5,64747.29999995232,3,out,out,True,17
44,s6x52p2895xf99y,20a_out_in_close.mp4,animate,1092241.0,81,100,100,17829.700000047684,20685.0,28660.5,30568.29999995232,3,out,in,False,20
46,s6x52p2895xf99y,21a_out_in_med.mp4,animate,1182252.0,45,20,100,84080.09999990463,86311.59999990463,88124.29999995232,88989.40000009537,3,out,in,False,21
48,s6x52p2895xf99y,11p_in_in.mp4,inanimate,1207078.0,71,100,1,12454.400000095367,15662.0,23602.5,24557.900000095367,3,in,in,True,11
50,s6x52p2895xf99y,20p_out_in_close.mp4,inanimate,1233385.0,70,82,1,13167.700000047684,15021.0,24203.79999995232,25536.700000047684,3,out,in,False,20
52,s6x52p2895xf99y,10p_in_in.mp4,inanimate,1373773.0,61,84,1,129935.5,132732.0,135226.0,139364.5,3,in,in,True,10
54,s6x52p2895xf99y,4p_in_out_med.mp4,inanimate,1445283.0,100,24,1,56686.90000009537,59919.29999995232,68324.40000009537,69737.40000009537,3,in,out,False,4
56,s6x52p2895xf99y,17p_out_out_far.mp4,inanimate,1494236.0,56,1,1,33762.5,37251.90000009537,45499.40000009537,46935.29999995232,3,out,out,True,17
58,s6x52p2895xf99y,5a_in_out_far.mp4,animate,1530683.0,100,1,100,28991.5,31822.60000014305,34252.60000014305,35908.40000009537,3,in,out,False,5
60,s6x52p2895xf99y,13p_out_out_close_.mp4,inanimate,1798671.0,84,84,1,244957.5,242817.60000014305,263875.0,267225.10000014305,3,out,out,True,13
62,s6x52p2895xf99y,6a_in_out_far.mp4,animate,1841460.0,88,9,100,33968.60000014305,37412.90000009537,39527.90000009537,41276.60000014305,3,in,out,False,6
64,s6x52p2895xf99y,13a_out_out_close.mp4,animate,1859307.0,79,82,100,11686.199999809263,13826.599999904633,15368.699999809263,16577.0,3,out,out,True,13
